Medicine,Year,Type,Value
Hydrochlorothiazide 25 MG Oral Tablet,1968,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1970,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1972,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1973,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1984,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1985,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1985,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1986,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1987,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1988,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1989,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1989,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1991,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1993,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1993,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1995,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1996,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1997,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1997,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1998,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1998,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1998,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,1999,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,2000,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,2001,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,2002,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,2002,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,2002,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,2004,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,2004,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,2005,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,2006,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,2006,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,2006,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,2006,Actual,1
Hydrochlorothiazide 25 MG Oral Tablet,2007,Actual,1
