DESCRIPTION,Month,ENCOUNTERCLASS,DISPENSES,TOTALCOST,RandomState,CityLookup,Year
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, February 1, 1982",outpatient,1,260.78,California,,1982
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, February 1, 1985",outpatient,1,260.78,California,,1985
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, February 1, 1990",outpatient,1,260.78,California,,1990
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, March 1, 1990",outpatient,1,260.78,California,,1990
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, October 1, 1990",outpatient,1,260.78,California,,1990
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, January 1, 1991",outpatient,1,260.78,California,,1991
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, July 1, 1991",outpatient,1,260.78,California,,1991
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, October 1, 1991",outpatient,1,260.78,California,,1991
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, March 1, 1992",outpatient,1,260.78,California,,1992
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, May 1, 1992",outpatient,1,260.78,California,,1992
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, June 1, 1992",outpatient,1,260.78,California,,1992
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, November 1, 1992",outpatient,1,260.78,California,,1992
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, January 1, 1993",outpatient,1,260.78,California,,1993
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, April 1, 1993",outpatient,1,260.78,California,,1993
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, May 1, 1993",outpatient,1,260.78,California,,1993
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, July 1, 1993",outpatient,1,260.78,California,,1993
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, October 1, 1993",outpatient,1,260.78,California,,1993
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, December 1, 1993",outpatient,1,260.78,California,,1993
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, January 1, 1994",outpatient,1,260.78,California,,1994
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, April 1, 1994",outpatient,1,260.78,California,,1994
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, May 1, 1994",outpatient,1,260.78,California,,1994
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, July 1, 1994",outpatient,1,260.78,California,,1994
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, August 1, 1994",outpatient,1,260.78,California,,1994
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, October 1, 1994",outpatient,1,260.78,California,,1994
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, January 1, 1995",outpatient,1,260.78,California,,1995
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, February 1, 1995",outpatient,1,260.78,California,,1995
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, April 1, 1995",outpatient,1,260.78,California,,1995
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, May 1, 1995",outpatient,1,260.78,California,,1995
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, June 1, 1995",outpatient,1,260.78,California,,1995
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, July 1, 1995",outpatient,1,260.78,California,,1995
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, November 1, 1995",outpatient,1,260.78,California,,1995
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, December 1, 1995",outpatient,1,260.78,California,,1995
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, June 1, 1996",outpatient,1,260.78,California,,1996
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, July 1, 1996",outpatient,1,260.78,California,,1996
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, August 1, 1996",outpatient,1,260.78,California,,1996
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, November 1, 1996",outpatient,1,260.78,California,,1996
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, December 1, 1996",outpatient,1,260.78,California,,1996
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, January 1, 1997",outpatient,1,260.78,California,,1997
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, February 1, 1997",outpatient,1,260.78,California,,1997
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, March 1, 1997",outpatient,1,260.78,California,,1997
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, May 1, 1997",outpatient,1,260.78,California,,1997
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, August 1, 1997",outpatient,1,260.78,California,,1997
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, September 1, 1997",outpatient,1,260.78,California,,1997
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, October 1, 1997",outpatient,1,260.78,California,,1997
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, November 1, 1997",outpatient,1,260.78,California,,1997
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, February 1, 1998",outpatient,1,260.78,California,,1998
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, March 1, 1998",outpatient,1,260.78,California,,1998
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, May 1, 1998",outpatient,1,260.78,California,,1998
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, August 1, 1998",outpatient,1,260.78,California,,1998
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, October 1, 1998",outpatient,1,260.78,California,,1998
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, November 1, 1998",outpatient,1,260.78,California,,1998
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, January 1, 1999",outpatient,1,260.78,California,,1999
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, February 1, 1999",outpatient,1,260.78,California,,1999
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, August 1, 2000",outpatient,1,260.78,California,,2000
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, March 1, 2001",outpatient,1,260.78,California,,2001
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, December 1, 2001",outpatient,1,260.78,California,,2001
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, May 1, 2002",outpatient,1,260.78,California,,2002
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, July 1, 2002",outpatient,1,260.78,California,,2002
